dataset	field	truth_overlap_candidate_count	truth_overlap_missing_or_unknown_count	truth_overlap_missing_or_unknown_fraction	truth_overlap_value_counts	nontruth_candidate_count	nontruth_missing_or_unknown_count	nontruth_missing_or_unknown_fraction	nontruth_value_counts	hard_filter_risk_note
Y1-Y8 locked positives	sex_adjusted_copy_number	13	0	0.0	-0.028=1; 0.0456=1; 0.1614=1; 0.3714957440509734=1; 0.3741454514125617=1; 0.5389999999999999=1; 1.886=1; 2.414=1; 3.0012=1; 3.0568=1; 3.0894=1; 3.1158=1; 3.1658=1	130	0	0.0	0.0913999999999999=1; 1.6224=1; 1.8382=1; 1.8468=1; 1.8956=1; 1.8964=1; 1.9=1; 1.913=1; 1.915=1; 1.917=1; 1.9192=1; 1.9346=1; 1.9364=1; 1.9426=1; 1.943=1; 1.9438=1; 1.9512=1; 1.9526=1; 1.9542=1; 1.9544=1; 1.955=1; 1.9574=1; 1.9578=1; 1.9586=1; 1.966=1; 2.0312=1; 2.0334=1; 2.0458=1; 2.0474=1; 2.0484=1; 2.0514=1; 2.0536=1; 2.0588=1; 2.0602=1; 2.061=1; 2.0612=1; 2.0628=1; 2.063=1; 2.0702=1; 2.0708=1; 2.0712=1; 2.0714=1; 2.075=1; 2.0766=1; 2.0776=1; 2.0782=1; 2.0798=1; 2.083=1; 2.0852=1; 2.087=1; 2.0878=1; 2.0908=2; 2.094=1; 2.0944=1; 2.0968=1; 2.0982=1; 2.0992=1; 2.1048=1; 2.1056=1; 2.1074=1; 2.1092=1; 2.1112=1; 2.117=1; 2.1178=1; 2.1216=1; 2.125=1; 2.1276=1; 2.1322=1; 2.1362=1; 2.137=1; 2.145=1; 2.1452=1; 2.1454=1; 2.1514=1; 2.154=1; 2.1596=1; 2.1616=1; 2.1622=1; 2.1624=1; 2.1628=1; 2.1776=1; 2.179=1; 2.1792=1; 2.1824=1; 2.1848=1; 2.1858=1; 2.1894=1; 2.1900727235123965=1; 2.1918=1; 2.196=1; 2.2=1; 2.2082=1; 2.2112=1; 2.225=1; 2.2268=1; 2.2274=1; 2.2384=1; 2.2478=1; 2.249=1; 2.2554=1; 2.2672=1; 2.2674=1; 2.2678=1; 2.2762=1; 2.2776=1; 2.2796=1; 2.2824=1; 2.308=1; 2.3114=1; 2.3206=1; 2.343=1; 2.3436=1; 2.3476=1; 2.376=1; 2.3824=1; 2.3882=1; 2.3916=1; 2.4014=1; 2.404=1; 2.4272=1; 2.4406=1; 2.4566=1; 2.4628=1; 2.526=1; 2.609=1; 2.628=1; 3.0762=1; 3.1216=1; 3.1812=1	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	mosaic_fraction_proxy	13	0	0.0	0.1140000000000001=1; 0.4140000000000001=1; 1.0=11	130	0	0.0	0.0312000000000001=1; 0.0333999999999998=1; 0.034=1; 0.0414000000000001=1; 0.0422=1; 0.0425999999999999=1; 0.0449999999999999=1; 0.0456=1; 0.0457999999999998=1; 0.0458=1; 0.0474000000000001=2; 0.0484=1; 0.0487999999999999=1; 0.0514000000000001=1; 0.0535999999999998=1; 0.0562=1; 0.0569999999999999=1; 0.0573999999999998=1; 0.0588000000000001=1; 0.0602=1; 0.0609999999999999=1; 0.0611999999999999=1; 0.0628000000000001=1; 0.0630000000000001=1; 0.0636000000000001=1; 0.0653999999999999=1; 0.0701999999999998=1; 0.0708000000000002=1; 0.0712000000000001=1; 0.0714000000000001=1; 0.0750000000000001=1; 0.0766=1; 0.0775999999999998=1; 0.0781999999999998=1; 0.0798000000000001=1; 0.0807999999999997=1; 0.0829999999999999=1; 0.0830000000000001=1; 0.0849999999999999=1; 0.0851999999999999=1; 0.0869999999999999=1; 0.0870000000000001=1; 0.0878000000000001=1; 0.0907999999999997=1; 0.0908000000000002=1; 0.0939999999999998=1; 0.0943999999999998=1; 0.0968=1; 0.0981999999999998=1; 0.0992000000000001=1; 0.1=1; 0.1035999999999999=1; 0.1044=1; 0.1048=1; 0.1055999999999999=1; 0.1074000000000001=1; 0.1091999999999999=1; 0.1112000000000001=1; 0.1169999999999999=1; 0.1177999999999999=1; 0.1215999999999999=1; 0.125=1; 0.1276000000000001=1; 0.1322000000000001=1; 0.1362000000000001=1; 0.1369999999999995=1; 0.145=1; 0.1452=1; 0.1453999999999999=1; 0.1514000000000002=1; 0.1532=1; 0.1539999999999999=1; 0.1596000000000002=1; 0.1615999999999999=1; 0.1617999999999999=1; 0.1621999999999999=1; 0.1623999999999998=1; 0.1627999999999998=1; 0.1775999999999999=1; 0.1789999999999998=1; 0.1791999999999998=1; 0.1823999999999999=1; 0.1848=1; 0.1857999999999999=1; 0.1894=1; 0.1900727235123964=1; 0.1918000000000002=1; 0.1960000000000001=1; 0.2000000000000001=1; 0.2082000000000001=1; 0.2111999999999998=1; 0.2250000000000001=1; 0.2267999999999999=1; 0.2273999999999998=1; 0.2383999999999999=1; 0.2477999999999998=1; 0.2490000000000001=1; 0.2553999999999998=1; 0.2671999999999999=1; 0.2673999999999998=1; 0.2677999999999998=1; 0.2762000000000002=1; 0.2776=1; 0.2795999999999998=1; 0.2824=1; 0.3079999999999998=1; 0.3113999999999999=1; 0.3205999999999998=1; 0.3429999999999999=1; 0.3435999999999999=1; 0.3475999999999999=1; 0.3759999999999999=1; 0.3775999999999999=1; 0.3824000000000001=1; 0.3881999999999999=1; 0.3915999999999999=1; 0.4013999999999997=1; 0.4039999999999999=1; 0.4272=1; 0.4405999999999999=1; 0.4565999999999999=1; 0.4628000000000001=1; 0.5259999999999998=1; 0.609=1; 0.6280000000000001=1; 1.0=4	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	mosaic_proxy_status	13	0	0.0	AVAILABLE=13	130	0	0.0	AVAILABLE=130	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	event_arm_class	13	0	0.0	autosome=11; sex_chromosome=2	130	0	0.0	autosome=126; sex_chromosome=4	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	event_par_class	13	0	0.0	autosome=11; mixed_par_nonpar=1; nonpar=1	130	0	0.0	autosome=126; mixed_par_nonpar=1; nonpar=3	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	crosses_centromere	13	0	0.0	0=5; 1=8	130	0	0.0	0=27; 1=103	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	crosses_par_boundary	13	0	0.0	0=12; 1=1	130	0	0.0	0=129; 1=1	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	whole_chromosome_fraction	13	0	0.0	0.0485436893203883=1; 0.0612244897959183=2; 0.0884353741496598=1; 0.1551724137931034=1; 0.34375=1; 0.3525641025641026=1; 0.5510204081632653=2; 0.6=1; 0.6025641025641025=1; 0.7777777777777778=1; 0.8103448275862069=1	130	0	0.0	0.0104166666666666=1; 0.0125=3; 0.01875=1; 0.0260416666666666=2; 0.032=1; 0.0388349514563106=1; 0.0497237569060773=1; 0.06875=1; 0.075=1; 0.08125=1; 0.0872093023255814=1; 0.0875=1; 0.0897435897435897=1; 0.0952380952380952=1; 0.1166666666666666=3; 0.1567164179104477=1; 0.1666666666666666=1; 0.176=1; 0.1772151898734177=1; 0.2=1; 0.224=1; 0.236=1; 0.2430939226519337=1; 0.2439024390243902=6; 0.2447916666666666=2; 0.2676056338028169=2; 0.2720588235294117=3; 0.2857142857142857=3; 0.2967032967032967=1; 0.3166666666666666=2; 0.3333333333333333=1; 0.3375=1; 0.3430232558139535=1; 0.35=4; 0.3516483516483517=4; 0.35625=1; 0.3626373626373626=3; 0.4472361809045226=1; 0.4835164835164835=7; 0.5=6; 0.5226130653266332=2; 0.5333333333333333=8; 0.5510204081632653=3; 0.6046511627906976=1; 0.60625=2; 0.6065573770491803=1; 0.627906976744186=2; 0.6346153846153846=5; 0.6379310344827587=1; 0.673469387755102=2; 0.6740331491712708=1; 0.6829268292682927=7; 0.6875=1; 0.7089552238805971=2; 0.7237569060773481=4; 0.7239583333333334=3; 0.7572815533980582=1; 0.759493670886076=3; 0.7931034482758621=1; 0.8055555555555556=2; 0.8103448275862069=2	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	cnvpro_large_segment_tier	13	0	0.0	large_ge10mb=10; large_ge4mb=1; reportable_ge2mb=2	130	0	0.0	large_ge10mb=116; large_ge4mb=8; reportable_ge2mb=2; review_ge1mb=4	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	waviness	13	0	0.0	0.0370712819011049=2; 0.038934668788061=1; 0.0397627111797906=2; 0.0430610563995213=1; 0.0452180605052296=2; 0.047507939620669=1; 0.062463616013945=3; 0.0692649071951402=1	130	0	0.0	0.0370712819011049=13; 0.038934668788061=8; 0.0397627111797906=15; 0.0430610563995213=18; 0.0452180605052296=13; 0.047507939620669=24; 0.062463616013945=19; 0.0692649071951402=20	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	sample_noise_status	13	0	0.0	OK=13	130	0	0.0	OK=130	no_missing_on_truth_overlap_candidates
Y1-Y8 locked positives	cnvpro_like_evidence_status	13	0	0.0	SHADOW_EVIDENCE_ONLY=13	130	0	0.0	SHADOW_EVIDENCE_ONLY=130	no_missing_on_truth_overlap_candidates
