dataset	cohort_role	field	row_count	missing_or_unknown_count	missing_or_unknown_fraction	value_counts
2026-06-15 shadow-report set	shadow_unknown	crosses_centromere	170	0	0.0	0=38; 1=132
2026-06-15 shadow-report set	shadow_unknown	crosses_par_boundary	170	0	0.0	0=166; 1=4
2026-06-15 shadow-report set	shadow_unknown	whole_chromosome_fraction	170	0	0.0	0.0116279069767441=1; 0.0125=3; 0.0211267605633802=1; 0.050251256281407=1; 0.0549450549450549=1; 0.0612244897959183=2; 0.0666666666666666=2; 0.075=1; 0.08125=2; 0.0833333333333333=1; 0.0897435897435897=3; 0.1119402985074626=1; 0.1162790697674418=1; 0.1166666666666666=2; 0.127906976744186=1; 0.1407035175879397=1; 0.164=2; 0.1772151898734177=1; 0.2=1; 0.236=2; 0.2439024390243902=5; 0.2447916666666666=3; 0.2448979591836734=1; 0.2462686567164179=3; 0.2486187845303867=2; 0.25=1; 0.2531645569620253=1; 0.26=1; 0.2616279069767442=1; 0.2676056338028169=3; 0.2720588235294117=2; 0.2762430939226519=1; 0.2857142857142857=3; 0.2914572864321608=1; 0.293103448275862=1; 0.3061224489795918=1; 0.313953488372093=1; 0.3166666666666666=3; 0.3205128205128205=2; 0.3313953488372093=2; 0.3375=1; 0.35=2; 0.3516483516483517=1; 0.3525641025641026=1; 0.3529411764705882=2; 0.35625=1; 0.359375=1; 0.360655737704918=3; 0.3626373626373626=3; 0.3645833333333333=1; 0.3662790697674418=1; 0.3796296296296296=1; 0.390625=2; 0.408=1; 0.4259259259259259=1; 0.4285714285714285=1; 0.4422110552763819=2; 0.46=2; 0.4835164835164835=2; 0.5=12; 0.5063291139240507=1; 0.51875=1; 0.5226130653266332=1; 0.5333333333333333=5; 0.5373134328358209=1; 0.5510204081632653=2; 0.5578231292517006=1; 0.5882352941176471=5; 0.6=1; 0.6025641025641025=1; 0.6046511627906976=1; 0.60625=1; 0.6065573770491803=4; 0.6323529411764706=2; 0.6346153846153846=4; 0.673469387755102=3; 0.6829268292682927=4; 0.7089552238805971=3; 0.7237569060773481=4; 0.7239583333333334=3; 0.7572815533980582=4; 0.759493670886076=3; 0.7777777777777778=2; 0.7931034482758621=2; 0.8055555555555556=1; 0.8103448275862069=1
2026-06-15 shadow-report set	shadow_unknown	cnvpro_large_segment_tier	170	0	0.0	large_ge10mb=157; large_ge4mb=4; reportable_ge2mb=5; review_ge1mb=4
2026-06-15 shadow-report set	shadow_unknown	waviness	170	0	0.0	0.0459490244766651=29; 0.0510822032454453=38; 0.0512067774560512=29; 0.0571435298754742=27; 0.3215609919562899=47
2026-06-15 shadow-report set	shadow_unknown	sample_noise_status	170	0	0.0	OK=170
2026-06-15 shadow-report set	shadow_unknown	cnvpro_like_evidence_status	170	0	0.0	SHADOW_EVIDENCE_ONLY=170
H1-H6 positives + H7-H16 review	locked_positive	cnvpro_like_gc_rc_background_status	114	0	0.0	GC_RC_AVAILABLE=114
H1-H6 positives + H7-H16 review	locked_positive	dynamic_reference_status	114	0	0.0	OK=114
H1-H6 positives + H7-H16 review	locked_positive	matched_negative_source	114	114	1.0	UNKNOWN_BACKGROUND=114
H1-H6 positives + H7-H16 review	locked_positive	matched_negative_percentile	114	114	1.0	NA=114
